estado;segmento;nome;whatsapp;telefone;email;site;endereco;cidade;uf;cep;url;website;categoria;telefone_e164
MG;Perfumaria;Ateliê Toda Bella;;(31) 99472-3834;;;R. Alenquer, 450 - Jardim Alterosa, Betim - MG, 32670-696;Betim;;32670-696;https://www.google.com/maps/place/Ateli%C3%AA+Toda+Bella/data=!4m7!3m6!1s0xa6c1f2a48e407b:0x3d9b5b966bf1aed0!8m2!3d-19.947148!4d-44.1606619!16s%2Fg%2F11g3_9zdkf!19sChIJe0COpPLBpgAR0K7xa5Zbmz0?authuser=0&hl=pt-BR&rclk=1;;Salão de Beleza;5,53199E+12
MG;Perfumaria;Studio Nainy Silva;;(31) 99234-7899;;;R. Alenquer, 379 - Jardim das Alterosas - 1A Secao, Betim - MG, 32670-696;Betim;;32670-696;https://www.google.com/maps/place/Studio+Nainy+Silva/data=!4m7!3m6!1s0xa6c1203a870ceb:0x114e9cd63e4fad6b!8m2!3d-19.9475888!4d-44.1610961!16s%2Fg%2F11h9krqzn8!19sChIJ6wyHOiDBpgARa61PPtacThE?authuser=0&hl=pt-BR&rclk=1;https://www.facebook.com/nainy.ferreira.7;Salão de Beleza;5,53199E+12
RJ;Material De Construção;Materiais Construção Três Irmãos;;(22) 99727-7948;;;Arnaldo Rodrigues, Av. João Ornaldo Rodrigues, 196 - Centro, São José de Ubá - RJ, 28455-000;São José de Ubá;;28455-000;https://www.google.com/maps/place/Materiais+Constru%C3%A7%C3%A3o+Tr%C3%AAs+Irm%C3%A3os/data=!4m7!3m6!1s0xbcf7f54e4ab2fd:0x9b8fabb03c941ea2!8m2!3d-21.3611784!4d-41.9392004!16s%2Fg%2F1thy116l!19sChIJ_bJKTvX3vAARoh6UPLCrj5s?authuser=0&hl=pt-BR&rclk=1;;Loja de materiais de construção;5,523E+12
RJ;Material De Construção;Ubaense Material de Construção;;(22) 3866-1006;;;Av. David Vieira Ney, 491 - Centro, São José de Ubá - RJ, 28455-000;São José de Ubá;;28455-000;https://www.google.com/maps/place/Ubaense+Material+de+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0xbcf732f2764c8f:0xae92880f635effe!8m2!3d-21.3598578!4d-41.9434066!16s%2Fg%2F11h4lk90jr!19sChIJj0x28jL3vAAR_u819oAo6Qo?authuser=0&hl=pt-BR&rclk=1;;Loja de materiais de construção;5,52239E+11
RJ;Material De Construção;Construshow Moreira Jaguara;;(24) 99885-1566;;;Estrada Silveira da Mota, 17100 - Jaguará, São José do Vale do Rio Preto - RJ, 25780-000;São José do Vale do Rio Preto;;25780-000;https://www.google.com/maps/place/Construshow+Moreira+Jaguara/data=!4m7!3m6!1s0x98454dc821a31b:0x455aa84feee3744f!8m2!3d-22.189255!4d-42.9872576!16s%2Fg%2F11yks1bl0l!19sChIJG6MhyE1FmAART3Tj7k-oWkU?authuser=0&hl=pt-BR&rclk=1;;Loja de materiais de construção;5,525E+12
RJ;Material De Construção;MMR Materias De Construção Ltda. Me;;(24) 99262-2105;;;Estrada Silveira da Mota, 18215 - Camboatá, São José do Vale do Rio Preto - RJ, 25780-000;São José do Vale do Rio Preto;;25780-000;https://www.google.com/maps/place/MMR+Materias+De+Constru%C3%A7%C3%A3o+Ltda.+Me/data=!4m7!3m6!1s0x984378cc53c793:0x5986f781fa856ff4!8m2!3d-22.182495!4d-42.9822237!16s%2Fg%2F11ckrj4pws!19sChIJk8dTzHhDmAAR9G-F-oH3hlk?authuser=0&hl=pt-BR&rclk=1;;Loja de materiais de construção;5,52499E+12
RJ;Material De Construção;MJ Elétrica e Hidráulica;;(24) 99282-6961;;;Estrada Silveira da Mota, 19060 - Contendas, São José do Vale do Rio Preto - RJ, 25780-000;São José do Vale do Rio Preto;;25780-000;https://www.google.com/maps/place/MJ+El%C3%A9trica+e+Hidr%C3%A1ulica/data=!4m7!3m6!1s0x98439d6cd28f63:0x49919e89c69892a4!8m2!3d-22.1772338!4d-42.9792527!16s%2Fg%2F11g6_cywcb!19sChIJY4_SbJ1DmAARpJKYxomekUk?authuser=0&hl=pt-BR&rclk=1;;Loja de materiais de construção;5,52499E+12
RJ;Material De Construção;Dafel São José;;(24) 2103-6333;;;Estrada Silveira da Mota, São José do Vale do Rio Preto - RJ, 25780-000;São José do Vale do Rio Preto;;25780-000;https://www.google.com/maps/place/Dafel+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x98417dedc5e689:0x8c60b354d6c4b8ff!8m2!3d-22.1709595!4d-42.9425837!16s%2Fg%2F11c0xhjt19!19sChIJiebF7X1BmAAR_7jE1lSzYIw?authuser=0&hl=pt-BR&rclk=1;https://www.grupodafel.com.br/;Loja de ferramentas;5,52421E+11
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
